day_of_week,shift,peak_period,staff_count,order_volume,avg_items_per_order,avg_pick_distance_m,automation_utilization_pct,absenteeism_pct,equipment_downtime_min,new_hire_share_pct,throughput_units_per_hour
Wednesday,Day,0,20,636,2.83,22.3,96.4,8.1,1.1,29.6,106.0
Saturday,Day,0,37,564,4.23,22.1,68.3,6.6,4.0,1.8,105.8
Wednesday,Day,1,19,757,2.28,18.5,78.2,0.9,7.5,5.5,97.9
Friday,Night,0,51,340,2.47,30.5,58.9,5.3,1.4,4.5,103.1
Wednesday,Day,0,40,458,2.28,12.8,83.6,0.5,9.6,13.9,111.8
Tuesday,Day,0,19,581,3.66,23.8,86.5,9.2,10.9,13.6,81.8
Sunday,Night,1,41,526,3.24,20.9,70.0,10.0,15.7,8.0,94.0
Tuesday,Night,0,34,512,2.5,26.7,92.4,5.0,8.8,18.3,89.3
Monday,Evening,1,19,685,2.32,21.9,72.8,2.6,4.2,14.6,88.2
Wednesday,Day,0,55,496,3.56,22.1,74.6,3.2,1.2,18.6,132.3
Saturday,Day,0,32,479,3.0,20.4,79.2,3.8,1.1,20.4,108.0
Saturday,Day,0,18,416,3.58,30.4,93.9,4.9,6.4,0.0,89.0
Sunday,Day,0,41,644,2.77,22.0,69.4,9.3,6.4,16.8,112.0
Wednesday,Day,0,32,530,3.08,33.8,80.9,8.1,1.4,3.0,101.9
Wednesday,Evening,1,42,662,2.97,23.6,87.7,8.1,9.4,13.7,112.8
Monday,Day,0,24,416,2.46,22.1,83.7,5.7,5.1,11.5,86.1
Friday,Evening,0,49,484,2.72,21.1,84.1,1.7,3.0,11.8,136.1
Sunday,Day,0,33,491,2.15,25.4,85.6,2.9,2.2,3.6,123.0
Friday,Day,0,33,538,3.07,18.5,72.5,5.4,21.0,19.2,87.4
Friday,Evening,0,48,550,3.22,22.9,94.9,1.6,0.9,3.0,120.0
Wednesday,Night,0,38,351,3.34,22.0,76.9,6.1,25.2,17.3,60.9
Sunday,Day,0,18,336,3.17,24.0,75.6,7.6,3.1,2.0,74.4
Thursday,Evening,1,39,643,2.73,24.1,93.5,6.8,26.8,11.9,109.0
Monday,Day,0,42,289,3.65,24.4,71.7,6.7,1.2,24.6,93.6
Wednesday,Day,0,29,439,3.29,22.6,81.2,0.0,10.1,28.5,92.0
Monday,Evening,0,24,387,3.56,31.4,70.8,9.2,18.2,0.7,66.5
Tuesday,Day,1,20,692,3.6,24.5,99.0,0.5,18.5,7.1,94.4
Monday,Day,0,50,643,2.73,37.6,99.0,4.7,10.0,8.3,142.3
Thursday,Evening,1,18,450,3.01,22.3,78.9,7.1,8.9,27.8,72.2
Friday,Day,0,40,716,3.23,27.8,83.2,6.3,1.6,11.5,121.2
Wednesday,Day,0,49,448,2.17,17.6,78.1,1.4,14.8,19.5,113.5
Thursday,Day,1,31,688,2.18,30.4,76.5,1.9,17.0,14.1,109.5
Sunday,Night,1,25,476,2.09,17.8,81.2,6.1,7.6,3.6,112.1
Saturday,Evening,0,45,585,2.74,24.7,77.6,6.7,8.7,0.0,111.5
Thursday,Day,0,41,479,2.62,20.4,62.8,1.9,41.1,7.7,80.5
Wednesday,Day,0,18,464,2.01,24.7,80.6,6.4,1.8,28.2,76.9
Sunday,Evening,0,39,271,2.88,20.6,77.6,0.7,10.3,13.8,93.5
Tuesday,Day,1,18,652,2.75,17.3,83.1,7.1,14.5,19.4,89.6
Wednesday,Evening,0,33,530,3.45,20.4,77.2,2.5,1.1,2.1,97.8
Sunday,Evening,0,29,433,3.91,31.2,74.4,5.4,1.2,9.7,86.0
Thursday,Day,0,49,587,3.05,24.8,86.7,4.9,3.7,17.5,138.9
Saturday,Day,0,55,618,2.42,14.3,83.3,8.7,4.0,4.4,143.9
Friday,Day,0,44,439,3.16,28.6,92.0,5.9,3.5,11.6,113.7
Friday,Day,0,45,652,2.81,16.7,82.9,3.4,4.2,5.8,136.1
Wednesday,Day,0,18,474,2.67,26.5,76.0,6.3,4.3,17.8,85.4
Tuesday,Night,0,20,425,2.33,25.3,84.2,11.6,7.6,14.8,79.7
Wednesday,Day,0,47,479,2.54,25.7,58.2,7.4,3.0,16.8,110.1
Tuesday,Evening,1,34,632,2.7,33.1,99.0,5.0,5.8,18.1,112.9
Sunday,Evening,0,37,205,3.24,17.0,80.7,2.7,7.2,10.4,85.0
Wednesday,Day,0,44,452,3.08,25.7,99.0,3.4,5.1,19.0,123.8
Friday,Day,0,31,370,3.8,29.6,69.3,7.2,10.2,7.9,73.5
Saturday,Day,0,43,665,3.17,18.1,66.8,2.5,20.2,16.4,107.1
Saturday,Evening,0,45,641,3.03,17.5,81.7,5.2,1.8,0.0,132.5
Thursday,Day,0,27,556,2.63,20.3,81.6,9.5,2.8,6.8,113.3
Thursday,Evening,0,44,432,2.23,23.9,81.4,5.7,13.1,28.2,105.4
Sunday,Night,0,24,334,2.49,13.5,79.9,2.0,9.2,16.3,81.1
Friday,Evening,1,29,598,2.42,25.3,73.7,11.7,13.9,16.3,82.6
Saturday,Night,0,47,650,1.39,13.5,63.1,10.5,12.4,6.2,128.5
Sunday,Evening,0,55,389,2.25,29.8,80.8,6.7,4.1,4.3,121.9
Saturday,Night,0,20,241,3.68,25.1,65.2,9.0,21.3,10.1,55.0
Tuesday,Night,1,42,698,3.0,33.5,66.2,4.4,21.7,11.5,101.2
Friday,Evening,0,39,623,2.59,26.0,74.2,7.4,2.9,25.4,102.0
Monday,Night,1,41,748,3.02,20.2,84.3,3.9,19.3,19.1,102.2
Friday,Night,0,47,554,1.73,17.2,97.9,1.1,20.7,12.8,115.0
Sunday,Evening,0,20,569,2.96,23.4,87.8,13.0,26.2,12.5,68.0
Thursday,Evening,0,46,460,3.5,21.8,92.3,1.0,12.6,17.3,102.8
Thursday,Evening,0,28,258,2.73,29.1,84.5,6.1,5.5,2.8,71.6
Monday,Night,0,23,413,1.83,16.4,81.7,6.1,3.9,0.0,95.7
Sunday,Day,0,34,534,2.57,34.1,99.0,6.7,5.5,17.2,115.2
Monday,Night,0,19,397,3.5,29.6,64.8,4.9,2.1,12.5,56.4
Monday,Evening,0,41,418,2.94,20.8,73.9,5.0,10.4,2.8,107.9
Tuesday,Night,0,39,328,2.02,32.8,74.6,5.6,6.4,0.0,93.0
Monday,Day,0,37,360,4.1,17.3,86.9,6.6,1.7,18.3,97.1
Thursday,Evening,0,19,630,2.11,23.2,68.2,5.2,4.0,8.3,80.7
Thursday,Evening,0,46,633,2.67,14.3,85.6,5.0,18.1,14.8,121.2
Wednesday,Night,0,19,425,2.23,33.1,83.8,1.2,10.6,10.2,87.6
Monday,Night,0,27,437,2.23,12.1,86.1,11.2,3.5,11.8,88.6
Monday,Evening,1,33,522,2.55,13.4,88.0,6.8,25.8,7.9,107.1
Wednesday,Evening,0,44,511,3.15,18.2,93.4,5.8,9.5,11.5,113.1
Monday,Day,0,33,622,3.51,29.9,77.5,3.3,2.3,16.0,112.8
Friday,Night,1,49,490,2.59,27.7,85.3,2.2,5.5,10.1,118.8
Tuesday,Day,0,53,509,2.24,22.7,70.6,7.8,1.5,9.7,108.8
Wednesday,Evening,0,47,501,3.06,28.1,68.4,4.7,21.3,16.3,91.0
Wednesday,Evening,0,19,500,3.08,21.3,95.6,7.1,14.2,16.7,80.6
Wednesday,Day,0,47,626,2.93,24.5,69.9,1.1,3.7,4.0,136.6
Monday,Day,0,25,648,2.95,31.9,84.4,9.8,14.0,11.8,89.5
Monday,Day,0,51,433,2.74,20.5,83.3,7.9,9.2,8.3,119.8
Sunday,Night,0,55,494,2.85,17.4,89.7,5.0,19.0,12.1,114.8
Monday,Evening,0,21,443,2.7,24.8,61.4,6.6,0.4,22.0,84.8
Thursday,Day,0,21,415,3.39,26.4,86.9,7.4,13.0,14.5,87.9
Thursday,Evening,0,44,481,4.03,22.7,77.4,1.2,7.0,27.1,97.3
Wednesday,Day,0,23,534,2.9,28.0,72.0,10.2,33.6,13.5,55.0
Thursday,Night,0,54,451,2.8,20.8,75.5,6.6,2.1,10.8,101.9
Saturday,Day,0,38,426,2.94,22.8,88.4,3.1,15.2,11.9,111.3
Saturday,Day,0,39,466,2.44,24.2,85.3,1.9,13.3,13.0,113.2
Tuesday,Day,0,50,422,3.22,23.7,76.7,8.2,1.6,14.3,108.9
Wednesday,Evening,0,26,370,3.04,31.7,66.6,5.8,5.8,5.1,77.1
Tuesday,Evening,0,39,475,2.57,24.2,67.3,6.6,11.9,10.4,85.7
Thursday,Evening,1,55,675,3.3,20.2,87.5,5.3,3.7,6.9,147.2
Friday,Evening,0,18,573,2.81,25.2,65.2,2.2,3.8,19.2,77.3
Tuesday,Day,0,24,384,2.27,28.1,76.8,6.7,16.6,0.0,73.0
Wednesday,Day,0,23,415,2.99,26.6,99.0,4.6,28.3,13.1,75.6
Sunday,Day,1,30,803,2.93,26.3,84.6,5.1,15.5,1.4,109.7
Monday,Night,0,22,394,3.33,13.0,85.4,12.3,1.8,15.0,77.3
Thursday,Day,0,24,478,3.26,8.0,67.4,7.8,0.1,9.2,102.4
Saturday,Night,0,50,448,2.74,29.7,65.7,8.0,2.5,0.0,116.7
Tuesday,Day,0,35,573,2.54,24.6,86.0,13.4,12.9,18.6,100.2
Monday,Day,1,31,746,2.8,21.9,77.2,6.4,14.2,0.0,109.3
Monday,Day,0,33,561,3.0,26.2,89.7,5.6,5.3,11.8,104.1
Sunday,Day,0,54,478,3.07,33.6,79.4,3.2,2.4,16.8,112.7
Monday,Evening,0,36,352,2.97,30.5,99.0,3.8,5.7,21.6,95.3
Tuesday,Evening,1,35,808,2.75,27.8,75.3,0.0,1.0,0.7,114.2
Monday,Day,0,53,536,3.35,16.7,81.9,7.6,9.7,8.4,135.3
Monday,Evening,0,19,392,2.43,17.5,70.1,1.4,8.9,19.6,73.9
Friday,Evening,0,36,615,4.16,8.0,89.3,7.9,2.3,20.1,115.6
Tuesday,Night,0,46,369,3.22,25.8,83.4,5.1,15.7,21.0,87.2
Friday,Night,0,37,589,2.18,28.7,69.4,5.6,7.8,29.9,86.9
Friday,Evening,0,50,620,2.9,29.1,75.8,5.1,3.4,8.4,127.2
Saturday,Night,1,51,557,3.22,26.1,94.7,9.4,10.1,14.6,122.4
Monday,Evening,0,30,490,2.61,21.1,91.5,8.8,33.0,9.6,83.5
Saturday,Evening,0,49,564,1.98,18.6,64.9,5.1,1.1,0.0,128.5
Friday,Evening,0,27,728,2.23,17.0,74.3,2.5,34.7,11.4,92.8
Tuesday,Day,0,27,394,3.1,21.0,97.2,8.0,7.7,0.0,101.7
Saturday,Evening,0,55,626,1.83,16.1,77.3,2.3,12.0,8.4,122.7
Saturday,Night,0,18,467,2.0,32.5,80.8,0.5,12.8,1.7,77.6
Tuesday,Day,0,31,347,3.1,14.2,89.3,6.7,3.5,15.1,105.5
Sunday,Night,0,41,419,2.68,20.8,65.7,8.9,5.2,6.6,88.4
Thursday,Night,0,33,430,2.42,10.4,69.6,4.0,20.5,0.0,75.2
Friday,Day,0,50,399,2.53,23.8,75.8,6.4,23.3,18.1,101.8
Sunday,Evening,0,27,485,1.99,22.0,91.0,4.0,6.4,7.8,107.4
Wednesday,Night,0,39,516,3.07,19.9,89.2,7.4,29.1,9.0,86.1
Saturday,Night,0,22,488,2.36,16.4,86.2,8.5,7.0,5.2,98.2
Wednesday,Day,0,26,419,2.51,22.0,77.6,4.4,14.5,20.0,98.2
Saturday,Day,0,24,496,2.99,18.7,90.3,2.1,3.8,13.9,89.6
Friday,Evening,1,46,660,2.66,21.2,79.5,0.8,13.8,7.7,124.4
Tuesday,Day,0,25,486,2.41,33.7,84.8,8.0,5.9,0.0,76.3
Wednesday,Day,0,43,575,1.71,23.0,88.1,1.8,39.7,29.6,108.0
Wednesday,Day,0,31,496,3.0,25.2,96.0,6.3,10.5,25.9,92.0
Monday,Day,0,39,322,2.84,19.2,78.4,7.5,26.7,22.1,79.7
Monday,Evening,0,51,382,2.52,17.3,75.4,3.7,9.1,7.1,123.7
Wednesday,Evening,0,50,466,2.23,21.9,92.0,4.7,7.9,8.5,113.6
Monday,Evening,0,18,542,2.81,37.0,92.7,8.2,8.9,14.8,65.2
Tuesday,Evening,0,47,568,3.06,20.3,73.6,2.8,31.6,5.7,86.7
Saturday,Day,0,54,679,2.85,24.2,67.9,2.5,4.9,5.1,148.0
Friday,Day,0,43,512,3.7,17.0,91.2,4.5,38.6,22.2,103.7
Saturday,Day,0,25,583,3.19,8.0,62.6,9.0,16.4,11.6,88.0
Wednesday,Day,0,43,332,2.74,17.3,62.1,10.0,30.5,4.2,74.8
Sunday,Day,0,42,516,3.21,36.3,76.3,4.9,2.5,18.7,115.6
Friday,Day,0,43,398,2.83,25.6,79.0,3.1,14.3,8.0,126.1
Monday,Day,1,34,629,2.82,31.8,69.4,8.4,21.1,0.0,97.9
Tuesday,Day,0,37,753,3.51,19.9,80.2,0.2,21.5,4.1,102.6
Friday,Evening,0,42,509,2.31,8.0,80.7,5.9,14.3,8.4,122.3
Tuesday,Evening,1,35,543,2.81,15.3,75.2,5.1,5.5,13.5,100.2
Thursday,Night,0,47,469,3.45,24.4,98.3,9.1,5.2,13.2,105.5
Sunday,Evening,0,44,406,2.97,23.4,82.3,9.4,4.9,20.6,83.5
Monday,Evening,0,29,344,2.6,21.9,89.3,2.4,10.0,10.3,88.0
Monday,Day,0,41,655,1.86,18.8,63.4,5.7,8.8,8.7,109.2
Sunday,Evening,0,46,556,1.55,27.6,63.4,3.5,5.8,20.7,124.4
Friday,Day,0,36,533,3.94,19.0,82.6,4.3,6.6,18.9,97.6
Monday,Day,0,45,418,2.97,23.8,96.5,7.1,8.0,10.5,121.3
Sunday,Day,0,22,445,2.48,23.2,67.9,4.2,0.6,14.0,90.0
Sunday,Day,0,32,622,2.99,19.8,79.4,5.8,6.0,8.7,113.6
Thursday,Day,0,44,504,2.28,16.7,65.6,8.1,4.6,3.9,120.2
Friday,Evening,0,52,187,2.62,19.4,70.8,9.7,2.3,27.4,95.0
Tuesday,Night,1,42,830,2.28,33.2,81.9,6.1,2.5,8.2,112.6
Monday,Evening,0,43,452,2.02,28.7,73.1,5.6,5.9,14.1,98.2
Friday,Evening,1,31,693,1.64,28.1,66.9,1.9,10.4,1.4,113.3
Wednesday,Evening,0,44,553,1.92,17.3,64.7,10.0,10.9,17.2,91.0
Friday,Day,0,31,544,3.36,13.4,59.1,6.7,12.2,3.6,107.3
Saturday,Evening,0,19,561,2.26,28.6,82.8,5.6,10.9,23.7,83.4
Monday,Evening,0,27,395,3.09,27.4,84.0,5.5,5.1,24.6,78.1
Friday,Day,0,41,383,3.33,22.8,83.9,6.3,2.5,16.0,107.5
Tuesday,Day,1,54,672,2.81,19.8,70.9,7.5,3.2,12.8,133.1
Sunday,Night,0,36,566,2.64,13.2,88.1,7.9,7.2,10.7,107.2
Tuesday,Evening,0,50,383,2.87,27.2,85.1,10.0,8.9,11.7,97.0
Friday,Evening,0,47,411,2.57,29.1,78.1,5.9,15.1,14.9,102.7
Thursday,Evening,0,39,571,3.46,17.9,76.4,10.5,21.7,12.6,92.2
Wednesday,Day,0,48,427,3.83,17.4,71.5,8.4,5.4,18.9,108.5
Friday,Evening,1,33,621,3.6,29.4,81.9,5.0,9.1,5.6,115.5
Saturday,Day,0,34,475,1.62,18.1,94.2,0.2,12.6,22.7,109.1
Friday,Day,0,45,494,2.56,32.7,89.4,5.5,8.0,9.0,115.7
Saturday,Evening,0,42,341,2.8,21.3,75.4,9.9,3.3,6.8,88.7
Sunday,Day,0,38,424,3.05,19.7,83.4,2.9,3.9,14.5,116.1
Wednesday,Evening,1,34,652,1.85,22.3,69.0,5.4,16.1,15.0,104.6
Thursday,Day,1,55,676,1.84,19.7,87.3,5.7,5.8,0.0,152.8
Monday,Evening,0,20,545,3.52,28.8,69.7,8.0,6.3,8.6,73.8
Saturday,Evening,1,20,845,2.49,27.3,86.9,4.0,0.5,0.0,104.7
Thursday,Evening,0,36,599,1.98,28.5,99.0,2.6,19.2,7.3,129.5
Wednesday,Evening,0,19,537,2.19,23.1,72.3,6.9,12.9,7.6,79.5
Monday,Night,0,30,396,3.01,19.3,99.0,3.0,1.7,14.1,98.2
Sunday,Evening,0,39,396,2.35,21.9,82.9,0.0,11.7,6.5,99.8
Wednesday,Evening,0,33,452,2.93,19.4,70.5,10.7,12.3,8.1,92.1
Friday,Evening,0,25,536,2.26,30.8,70.0,8.0,26.5,21.1,67.4
Tuesday,Day,0,28,543,1.84,28.0,99.0,10.9,3.6,26.4,104.5
Sunday,Day,1,40,714,3.58,21.5,84.9,7.8,11.2,5.6,129.7
Tuesday,Day,1,54,633,3.02,16.4,74.3,7.2,4.7,19.1,135.1
Tuesday,Day,0,47,540,2.62,31.2,76.0,6.3,4.5,14.7,111.4
Saturday,Day,0,38,630,2.51,22.8,82.3,4.6,23.1,0.0,97.3
Sunday,Day,0,23,559,3.61,21.2,77.9,6.7,16.2,6.5,85.9
Tuesday,Evening,0,27,442,3.13,31.3,81.5,3.5,1.8,0.0,86.5
Thursday,Day,0,34,396,3.43,18.9,95.7,2.0,1.5,14.3,100.1
Saturday,Night,0,27,384,2.48,20.1,66.7,4.2,12.0,4.5,90.7
Sunday,Day,0,44,410,2.83,20.6,84.4,9.1,6.8,12.9,119.8
Wednesday,Evening,0,31,474,3.02,14.1,77.3,1.5,3.1,30.0,82.1
Thursday,Day,0,49,524,2.5,23.9,73.0,1.6,12.2,23.2,118.2
Saturday,Evening,0,28,356,2.75,17.4,88.7,7.0,11.0,6.6,84.3
Saturday,Day,1,36,642,2.48,18.6,65.4,4.0,7.8,4.9,124.4
Saturday,Evening,0,45,513,3.02,17.8,54.3,6.7,8.5,21.1,95.9
Friday,Day,0,25,415,2.07,18.5,80.2,8.2,3.4,5.0,91.4
Monday,Night,0,46,451,3.11,17.0,76.6,6.6,11.0,18.9,106.4
Sunday,Day,0,40,446,2.97,23.5,64.5,3.3,29.6,31.2,91.9
Sunday,Evening,0,42,386,2.69,21.1,60.9,9.0,2.2,16.7,108.3
Saturday,Day,0,35,515,3.05,22.3,97.3,7.4,15.8,20.3,103.2
Monday,Evening,0,53,472,2.6,36.1,82.6,5.3,2.7,19.5,104.8
Tuesday,Evening,0,47,364,2.43,21.1,78.2,5.1,13.7,8.1,111.9
Saturday,Day,0,25,487,3.1,25.6,99.0,6.3,6.6,14.0,106.3
Monday,Day,0,39,499,3.12,26.3,88.2,4.3,13.9,5.3,113.1
Sunday,Day,0,52,403,2.52,21.6,95.7,0.3,2.3,21.0,128.6
Wednesday,Day,0,28,313,2.47,23.6,66.2,7.5,8.7,4.4,73.6
Saturday,Night,0,38,319,2.7,22.1,65.8,7.3,14.9,16.9,82.7
Sunday,Day,0,46,435,2.5,23.2,84.2,0.0,9.0,19.9,113.9
Wednesday,Day,0,28,345,3.64,18.5,82.1,6.7,12.8,8.6,81.5
Wednesday,Night,0,37,392,2.97,19.0,90.5,10.5,5.1,7.0,116.2
Friday,Day,0,39,658,2.81,22.1,61.7,1.8,13.1,10.8,126.6
Friday,Day,0,24,369,2.29,10.2,85.0,5.0,22.9,5.8,92.6
Wednesday,Evening,0,24,423,3.21,31.0,87.9,4.7,5.1,13.1,77.4
Friday,Night,0,39,658,2.46,35.0,87.4,10.2,12.7,5.6,95.7
Sunday,Evening,0,24,494,2.44,23.0,73.9,8.6,3.9,6.1,95.3
Thursday,Evening,0,54,420,3.22,26.0,83.2,2.6,24.7,15.8,117.0
Tuesday,Night,1,37,585,3.01,28.5,72.2,6.2,1.8,16.3,97.5
Wednesday,Day,1,44,691,1.42,14.1,77.1,12.1,10.6,9.9,125.3
Wednesday,Night,0,33,586,2.71,27.6,67.6,3.3,8.0,0.5,96.2
Monday,Night,0,29,360,2.87,19.4,70.4,5.2,5.1,20.2,66.2
Tuesday,Night,0,36,348,2.61,35.7,75.6,6.7,4.9,8.9,72.2
Friday,Day,0,45,369,2.89,20.9,73.1,3.4,7.4,26.4,95.3
Wednesday,Day,0,33,480,1.8,27.4,70.4,10.5,22.2,11.1,90.5
Sunday,Evening,0,28,321,1.3,20.9,65.0,3.8,9.5,13.0,87.6
Tuesday,Evening,0,23,401,2.26,35.2,97.6,1.0,1.4,9.0,100.8
Monday,Evening,0,38,349,2.96,18.9,73.0,3.6,9.5,13.7,79.8
Saturday,Night,0,43,567,1.3,29.0,81.3,7.2,17.0,35.0,88.6
Sunday,Evening,0,38,407,2.34,25.8,60.4,2.8,3.5,9.6,102.9
Tuesday,Day,1,27,683,1.74,24.4,93.6,6.1,9.1,20.9,106.0
Tuesday,Day,0,27,313,2.67,23.4,79.7,6.9,17.2,12.6,71.7
Tuesday,Day,0,32,477,3.88,18.0,73.6,1.6,10.2,20.2,101.8
Thursday,Day,1,31,541,2.68,8.0,75.6,3.5,8.3,0.0,112.3
Thursday,Day,0,25,435,2.74,28.4,86.7,6.2,5.8,25.6,82.8
Tuesday,Night,0,53,630,3.26,19.1,48.5,7.3,6.7,14.4,106.4
Monday,Evening,0,30,524,2.81,29.0,69.8,3.6,13.2,10.1,85.7
Thursday,Evening,0,27,443,2.68,24.1,76.8,5.7,14.4,18.3,84.6
Sunday,Day,0,41,779,3.31,29.2,76.7,4.3,14.2,13.0,104.0
Friday,Evening,0,48,393,3.06,26.8,99.0,7.4,4.0,4.0,114.6
Thursday,Night,0,35,541,2.96,8.0,74.6,6.8,0.3,0.0,116.0
Monday,Night,0,43,264,2.72,25.7,87.9,4.1,5.2,24.8,107.5
Tuesday,Evening,1,21,602,2.61,19.9,98.1,6.6,15.5,10.4,86.7
Wednesday,Night,0,38,297,3.3,29.0,84.7,4.0,25.8,7.7,77.6
Saturday,Evening,0,20,514,2.61,25.5,71.3,6.6,2.9,8.3,83.9
Sunday,Evening,0,23,460,3.48,25.6,65.2,6.6,12.6,22.3,69.0
Sunday,Night,0,40,401,2.22,20.4,85.5,12.3,4.3,8.6,94.5
Sunday,Day,0,25,579,3.59,16.5,94.5,4.2,21.1,16.5,102.3
Sunday,Day,0,19,421,3.06,19.4,83.5,4.8,15.3,9.7,88.2
Sunday,Day,1,24,686,2.27,11.2,92.3,3.3,10.0,3.2,141.1
Monday,Evening,0,47,513,3.08,18.5,99.0,2.1,10.6,18.3,111.0
Monday,Evening,0,40,294,2.44,13.2,86.4,3.8,19.5,19.7,80.3
Wednesday,Evening,0,32,379,2.82,13.4,67.0,7.2,1.1,7.2,107.7
Thursday,Day,0,54,480,2.53,22.7,78.5,7.4,7.1,11.7,124.0
Monday,Day,0,32,515,2.73,25.2,91.7,6.1,2.5,12.7,104.5
Saturday,Night,0,51,600,3.32,21.8,75.5,4.3,10.5,15.1,117.6
Friday,Day,0,31,479,3.09,19.0,93.1,3.7,8.8,25.8,90.2
Thursday,Night,0,18,400,2.18,16.3,77.3,2.4,10.0,9.7,78.1
Tuesday,Day,0,22,382,2.21,20.1,81.3,3.5,2.1,9.7,92.1
Tuesday,Evening,0,28,476,2.95,17.1,74.5,1.3,17.2,10.8,95.8
Tuesday,Evening,0,25,417,2.99,21.6,79.6,9.3,13.7,5.4,84.3
Saturday,Night,1,23,619,2.43,12.9,82.1,10.7,5.1,0.0,108.9
Friday,Day,0,32,491,3.68,26.2,61.9,0.0,14.5,12.9,90.2
Saturday,Night,1,55,697,3.25,18.6,75.6,6.1,0.5,15.7,146.3
Wednesday,Evening,0,25,396,2.46,24.3,65.7,6.0,2.6,12.0,84.5
Wednesday,Evening,0,26,377,2.4,27.3,73.9,5.8,7.4,11.6,75.6
Wednesday,Evening,0,55,491,2.67,24.0,70.0,3.4,5.9,5.7,116.8
Saturday,Day,0,25,223,2.62,26.8,88.1,8.3,20.3,13.8,66.8
Saturday,Evening,0,49,433,3.49,9.6,88.2,6.4,13.0,13.2,120.6
Tuesday,Day,0,41,356,3.34,19.0,83.6,8.3,23.5,15.3,80.9
Sunday,Day,1,53,769,2.82,28.6,67.3,3.0,1.7,14.3,139.8
Monday,Evening,0,39,393,3.17,25.1,77.0,1.1,5.9,14.8,92.3
Sunday,Evening,0,40,402,3.25,33.1,64.5,6.5,2.4,21.2,80.9
Monday,Day,0,26,450,2.83,32.2,76.5,2.3,10.0,16.0,77.7
Tuesday,Day,0,39,408,3.02,23.8,84.5,8.4,1.7,15.4,104.3
Saturday,Day,0,43,472,3.13,20.5,87.9,0.0,9.0,0.0,130.9
Tuesday,Day,0,55,474,3.07,16.2,82.7,3.8,3.8,19.4,125.2
Wednesday,Evening,0,21,410,2.37,19.1,90.6,3.4,14.7,9.9,68.1
Thursday,Day,0,23,434,2.43,19.6,80.6,4.2,7.4,12.6,114.7
Tuesday,Night,0,18,324,2.64,18.4,75.7,6.0,1.4,3.1,80.5
Saturday,Day,0,48,400,2.41,16.5,86.7,6.4,16.4,26.6,120.0
Saturday,Day,0,21,516,1.99,24.4,87.1,7.1,16.6,0.0,106.2
Sunday,Night,0,52,459,3.17,32.2,72.8,7.5,14.0,22.4,98.4
Wednesday,Day,1,31,514,2.99,27.6,83.8,4.7,5.0,15.0,104.1
Thursday,Day,0,28,547,2.06,20.1,75.1,11.5,11.9,0.0,107.1
Tuesday,Night,1,55,673,2.67,28.1,59.9,9.4,17.7,26.3,117.1
Tuesday,Night,0,45,513,2.7,24.1,82.4,4.3,6.8,15.6,112.4
Tuesday,Evening,0,38,473,2.9,21.8,65.1,4.8,7.1,0.0,106.8
Sunday,Day,0,51,536,2.2,21.4,81.3,4.2,8.3,9.0,123.5
Sunday,Evening,0,46,663,2.06,20.8,62.6,6.3,14.2,15.7,112.7
Saturday,Night,0,42,436,3.09,25.9,70.8,2.3,9.3,24.0,106.8
Thursday,Night,0,30,331,1.96,22.8,73.7,2.8,12.6,9.1,86.4
Thursday,Day,0,55,329,2.67,17.6,90.0,0.0,6.5,0.0,122.4
Thursday,Day,1,45,822,2.62,17.3,74.7,4.0,6.4,22.2,124.6
Thursday,Day,0,53,643,2.73,23.8,67.3,8.4,12.9,15.5,132.7
Thursday,Day,0,54,387,2.94,24.6,81.6,4.7,4.4,0.0,129.0
Monday,Evening,0,38,366,3.68,20.1,75.8,4.9,2.9,14.4,95.5
Monday,Day,0,31,424,1.92,15.2,85.9,6.0,4.2,15.1,106.9
Sunday,Day,0,53,591,3.28,29.5,67.9,2.2,6.2,9.7,127.5
Thursday,Day,0,55,353,1.42,28.2,80.1,5.3,7.8,6.2,120.4
Sunday,Evening,0,22,268,3.57,10.1,99.0,7.9,5.0,7.7,78.8
Tuesday,Day,0,42,671,1.68,30.0,75.6,6.1,5.5,9.7,129.5
Thursday,Day,0,40,505,4.14,20.7,79.9,8.1,10.4,14.5,102.9
Tuesday,Day,0,46,508,2.59,23.1,61.4,9.0,3.8,17.5,114.2
Tuesday,Night,0,55,401,3.51,28.8,69.5,7.2,13.9,0.0,104.9
Monday,Day,0,27,499,3.4,31.9,82.6,3.1,3.3,13.8,104.7
Monday,Evening,0,55,291,2.56,28.0,74.7,4.2,7.7,15.4,111.1
Sunday,Day,1,42,575,2.6,23.4,86.1,11.0,7.3,13.2,128.3
Wednesday,Day,0,21,480,2.34,13.7,82.2,6.1,20.2,9.2,87.4
Friday,Day,0,37,284,3.23,9.8,64.8,5.7,6.6,21.9,83.1
Thursday,Day,1,23,626,2.57,27.3,90.2,2.6,15.3,21.4,98.1
Wednesday,Day,0,54,435,2.35,30.1,65.6,4.9,13.0,9.4,118.3
Thursday,Evening,0,47,426,3.1,17.1,70.4,7.3,4.7,11.4,112.1
Tuesday,Evening,0,52,393,2.31,20.4,80.3,5.2,19.0,17.4,118.6
Sunday,Day,1,40,560,2.62,18.7,95.7,3.6,5.0,21.0,126.4
Saturday,Day,1,33,517,2.86,18.5,70.0,4.3,6.0,6.3,113.7
Saturday,Evening,0,34,504,2.45,28.4,79.5,8.8,11.1,4.7,96.6
